,Pierluigi,Gollini,P,18/03/1995,Adidas,26,4,Italia,Atalanta
,Marco,Sportiello,P,10/05/1992,Nike,29,6,Italia,Atalanta
,Berat,Djimsiti,D,16/02/1993,Puma,28,23,Albania,Atalanta
,Mattia,Caldara,D,05/05/1994,Puma,27,32,Italia,Atalanta
,Palomino,Josè Luis,D,05/01/1990,Nike,31,33,Argentina,Atalanta
,Hans,Hateboer,D,09/01/1994,Adidas,27,37,Olanda,Atalanta
,Ruslan,Malinovskyi,C,04/05/1993,Puma,28,34,Ucraina,Atalanta
,Viktor,Kovalenko,C,14/02/1996,Nike,25,25,Ucraina,Atalanta
,Marten,De Roon,C,29/03/1991,Adidas,30,45,Olanda,Atalanta
,Luis,Muriel,A,16/04/1991,Nike,30,48,Colombia,Atalanta
,Josip,Ilicic,A,29/01/1988,Nike,33,56,Slovenia,Atalanta
,Duvan,Zapata,A,01/04/1991,Adidas,30,60,Colombia,Atalanta
,Lorenzo,Montipò,P,20/02/1996,,25,2,Italia,Benevento
,Luca,Caldirola,D,01/02/1991,,30,4,Italia,Benevento
,Fabio,Depaoli,D,24/04/1997,,24,6,Italia,Benevento
,Federico,Barba,D,01/09/1993,,28,5,Italia,Benevento
,Kamil,Glik,D,03/02/1988,,33,7,Polonia,Benevento
,Daam,Foulon,D,23/03/1999,,22,5,Belgio,Benevento
,Pasquale,Schiattarella,C,30/05/1987,,34,8,Italia,Benevento
,Artur,Ionita,C,17/08/1990,,31,12,Moldavia,Benevento
,Nicolas,Viola,C,12/10/1989,,32,12,Italia,Benevento
,Gianluca,Lapadula,A,07/02/1990,Nike,31,20,Italia,Benevento
,Falque,Iago,A,04/01/1990,Nike,31,19,Italia,Benevento
,Gianluca,Caprari,A,30/07/1993,,28,16,Italia,Benevento
,Bartlomiej,Dragowski,P,19/08/1997,Adidas,24,24,Polonia,Fiorentina
,Martin,Caceres,D,07/04/1987,Puma,34,25,Uruguay,Fiorentina
,Cristiano,Biraghi,D,12/09/1992,Adidas,29,26,Italia,Fiorentina
