,Asmir,Begovic,P,1987-06-20,,34,1,Bosnia,Bournemouth
,Mark,Travers,P,1999-05-18,,22,1,Irlanda,Bournemouth
,Chris,Mepham,D,1997-11-05,,24,5,Galles,Bournemouth
,Steve,Cook,D,1991-04-19,,30,4,Inghilterra,Bournemouth
,Lloyd,Kelly,D,1998-10-06,,23,4,Inghilterra,Bournemouth
,Diego,Rico,D,1993-02-23,,28,4,Spagna,Bournemouth
,Jefferson,Lerma,C,1994-10-25,,27,10,Colombia,Bournemouth
,Lewis,Cook,C,1997-02-03,,24,7,Inghilterra,Bournemouth
,Philip,Billing,C,1996-06-11,,25,5,Danimarca,Bournemouth
,Jack,Wilshere,C,1992-01-01,,29,2,Inghilterra,Bournemouth
,Arnaut,Danjuma,A,1997-01-31,,24,7,Olanda,Bournemouth
,David,Brooks,A,1997-07-08,,24,11,Galles,Bournemouth
,David,Raya,P,1995-09-15,,26,4,Spagna,Brentford
,Luke,Daniels,P,1988-01-05,,33,1,Inghilterra,Brentford
,Pontus,Jansson,D,1991-02-13,,30,3,Svezia,Brentford
,Ethan,Pinnock,D,1993-05-29,,28,2,Inghilterra,Brentford
,Rico,Henry,D,1997-07-08,,24,3,Inghilterra,Brentford
,Vitaly,Janelt,C,1998-05-10,,23,1,Germania,Brentford
,Josh,Dasilva,C,1998-10-23,,23,4,Inghilterra,Brentford
,Christian,Nörgaard,C,1994-03-10,,27,3,Danimarca,Brentford
,Mathias,Jensen,C,1996-01-01,,25,2,Danimarca,Brentford
,Bryan,Mbeumo,A,1999-08-07,,22,8,Francia,Brentford
,Ivan,Toney,A,1996-03-16,,25,6,Francia,Brentford
,Thomas,Kaminski,P,1992-09-23,,29,1,Belgio,Blackburn
,Aynsley,Pears,P,1998-04-23,,23,1,Inghilterra,Blackburn
,Daniel,Ayala,D,1990-11-07,,31,1,Spagna,Blackburn
,Taylor,Harwood-Bellis,D,2002-01-30,,19,1,Inghilterra,Blackburn
,Jarrad,Branthwaite,D,2002-06-27,,19,1,Inghilterra,Blackburn
,Barry,Douglas,D,1989-09-04,,32,1,Scozia,Blackburn
,Tom,Trybull,C,1993-03-09,,28,1,Germania,Blackburn
,Joe,Rothwell,C,1995-01-11,,26,1,Inghilterra,Blackburn
,Bradley,Johnson,C,1987-04-28,,34,1,Inghilterra,Blackburn
,Lewis,Holtby,C,1990-09-18,,31,1,Germania,Blackburn
,Bradley,Dack,A,1993-12-31,,28,4,Inghilterra,Blackburn
,Harvey,Elliott,A,2003-04-04,,18,5,Inghilterra,Blackburn
,Tim,Krul,P,1988-04-03,,33,2,Olanda,Norwich City
,Örjan,Nyland,P,1990-09-10,,31,1,Norvegia,Norwich City
,Ben,Gibson,D,1993-01-15,,28,2,Inghilterra,Norwich City
,Christoph,Zimmermann,D,1993-01-12,,28,1,Germania,Norwich City
,Xavi,Quintillà,D,1996-08-23,,25,2,Spagna,Norwich City
,Max,Aarons,D,2000-01-04,,21,14,Inghilterra,Norwich City
,Oliver,Skipp,C,2000-09-16,,21,5,Inghilterra,Norwich City
,Kenny,McLean,C,1992-01-08,,29,2,Scozia,Norwich City
,Lukas,Rupp,C,1991-01-08,,30,1,Germania,Norwich City
,Todd,Cantwell,C,1998-02-27,,23,11,Inghilterra,Norwich City
,Emiliano,Buendía,A,1996-12-25,,25,9,Argentina,Norwich City
,Teemu,Pukki,A,1990-03-29,,31,4,Finlandia,Norwich City
,Brice,Samba,P,1994-04-25,,27,1,Congo,Nottingham Forest
,Abdoulaye,Diallo,P,1992-03-30,,29,1,Senegal,Nottingham Forest
,Loïc,Mbe Soh,D,2001-06-13,,20,3,Francia,Nottingham Forest
,Joe,Worrall,D,1997-01-10,,24,3,Inghilterra,Nottingham Forest
