,Giorgi,Makaridze,P,31/03/1990,,31,1,Georgia,Almerìa
,Fernando,Martínez,P,10/06/1990,,31,1,Spagna,Almerìa
,Jorge,Cuenca,D,17/10/1999,,22,2,Spagna,Almerìa
,Chumi,,D,02/03/1999,,22,1,Spagna,Almerìa
,Sergio,Akieme,D,16/12/1997,,24,2,Guinea,Almerìa
,Álex,Centelles,D,30/08/1999,,22,2,Spagna,Almerìa
,Samú,Costa,C,27/11/2000,,21,2,Portogallo,Almerìa
,Lucas,Robertone,C,18/03/1997,,24,3,Argentina,Almerìa
,Manu,Morlanes,C,12/01/1999,,22,2,Spagna,Almerìa
,João,Carvalho,C,09/03/1997,,24,3,Portogallo,Almerìa
,Brian,Rodríguez,A,20/05/2000,,21,7,Uruguay,Almerìa
,Umar,Sadiq,A,02/02/1997,,24,4,Nigeria,Almerìa
,Diego,López,P,03/11/1981,,40,1,Spagna,Espanyol
,Oier,Olazábal,P,14/09/1989,,32,1,Spagna,Espanyol
,Leandro,Cabrera,D,17/06/1991,,32,3,Uruguay,Espanyol
,Fernando,Calero,D,14/09/1995,,26,2,Spagna,Espanyol
,Adrià,Pedrosa,D,13/05/1998,,23,3,Spagna,Espanyol
,Dídac,Vilà,D,09/06/1989,,32,1,Spagna,Espanyol
,David,López,C,09/10/1989,,32,2,Spagna,Espanyol
,Sergi,Darder,C,22/12/1993,,28,4,Spagna,Espanyol
,Fran,Mérida,C,04/03/1990,,31,1,Spagna,Espanyol
,Nico,Melamed,C,11/04/2001,,20,2,Spagna,Espanyol
,Adrián,Embarba,A,07/05/1992,,29,4,Spagna,Espanyol
,Raúl,De Tomás,A,17/10/1994,,27,6,Spagna,Espanyol
,Adrián,Ortolá,P,20/08/1993,,28,1,Spagna,Girona
,Juan,Carlos,P,20/01/1988,,33,1,Spagna,Girona
,Bernardo,Espinosa,D,11/07/1989,,32,2,Colombia,Girona
,Juanpe,,D,30/04/1991,,30,1,Spagna,Girona
,Antonio,Luna,D,17/03/1991,,30,1,Spagna,Girona
,Yan,Couto,D,03/06/2002,,19,2,Brasile,Girona
,Gerard,Gumbau,C,18/12/1994,,27,1,Spagna,Girona
,Monchu,,C,13/09/1999,,22,3,Spagna,Girona
,Sebastián,Cristóforo,C,23/08/1993,,28,1,Uruguay,Girona
,Samu,Saiz,A,22/01/1991,,30,1,Spagna,Girona
,Valery,Fernández,A,23/11/1999,,22,1,Spagna,Girona
,Nahuel,Bustos,A,04/07/1998,,23,3,Argentina,Girona
,Álvaro,Valles,P,25/05/1997,,24,1,Spagna,Las Palmas
,Álex,Domínguez,P,30/07/1998,,23,1,Spagna,Las Palmas
,Alex,Suárez,D,10/10/1995,,26,1,Spagna,Las Palmas
,Aythami,Artiles,D,02/apr/1986,,35,1,Spagna,Las Palmas
,Álvaro,Lemos,D,30/03/1993,,28,1,Spagna,Las Palmas
,Ale,Díez,D,17/02/1996,,5,1,Spagna,Las Palmas
,Eric,Curbelo,D,17/02/1996,,25,1,Spagna,Las Palmas
,Enzo,Loiodice,C,27/11/2000,,21,2,Francia,Las Palmas
,Christian,Rivera,C,09/07/1997,,24,1,Spagna,Las Palmas
,Sergio,Ruiz,C,16/12/1994,,27,1,Spagna,Las Palmas
,Óscar,Clemente,C,26/03/1999,,22,1,Spagna,Las Palmas
,Jesé,Rodriguez,A,26/02/1993,,28,2,Spagna,Las Palmas
,Rober,González,A,06/01/2001,,20,1,Spagna,Las Palmas
,Diego,Conde,P,28/10/1998,,23,1,Spagna,Leganés
,Iván,Cuéllar,P,25/05/1984,,37,1,Spagna,Leganés
,Unai,Bustinza,D,02/02/1992,,29,2,Spagna,Leganés
,Kenneth,Omeruo,D,17/10/1993,,28,1,Nigeria,Leganés
,Rodri,Tarín,D,05/07/1996,,25,1,Spagna,Leganés
,Javi,Hernández,D,02/05/1998,,23,1,Spagna,Leganés
,Rubén,Pérez,C,26/04/1989,,32,2,Spagna,Leganés
,Luis,Perea,C,25/08/1997,,24,1,Spagna,Leganés
,Rubén,Pardo,C,22/10/1992,,29,2,Spagna,Leganés
,Javi,Eraso,C,22/03/1990,,31,1,Spagna,Leganés
,José,Manuel Arnáiz,A,15/04/1995,,26,1,Spagna,Leganés
,Borja,Bastón,A,25/08/1992,,29,2,Spagna,Leganés
,Juan,Soriano,P,23/08/1997,,24,1,Spagna,Malaga
,Dani,Barrio,P,23/08/1987,,34,1,Spagna,Malaga
,Juande,Rivas,D,07/07/1999,,22,1,Spagna,Malaga
,David,Lombán,D,05/06/1987,,34,1,Spagna,Malaga
,José,Matos,D,06/05/1995,,26,1,Spagna,Malaga
,Ismael,Casas,D,07/03/2001,,20,1,Spagna,Malaga
,Luis,Muñoz,C,23/02/1997,,24,1,Spagna,Malaga
,Alberto,Escassi,C,28/02/1989,,32,1,Spagna,Malaga
,Ramón,Enríquez,C,19/04/2001,,20,1,Spagna,Malaga
,Jozabed,Sánchez,C,08/03/1991,,30,1,Spagna,Malaga
