,Mike,Maignan,P,03/07/1995,,26,10,Francia,Lille
,Orestis,Karnezis,P,11/07/1985,,36,1,Grecia,Lille
,Sven,Botman,D,12/01/2000,,21,13,Olanda,Lille
,Tiago,Djaló,D,09/04/2000,,21,3,Portogallo,Lille
,Domagoj,Bradaric,D,10/12/1999,,22,4,Croazia,Lille
,Zeki,Celik,D,17/02/1997,,24,11,Turchia,Lille
,Boubakary,Soumaré,C,27/02/1999,,22,13,Francia,Lille
,Renato,Sanches,C,18/08/1997,Adidas,24,15,Portogallo,Lille
,Benjamin,André,C,03/08/1990,,31,8,Francia,Lille
,Xeka,,C,10/11/1994,,27,4,Portogallo,Lille
,Jonathan,Bamba,A,26/03/1996,,25,14,Francia,Lille
,Jonathan,David,A,14/01/2000,,21,16,Canada,Lille
,Anthony,Lopes,P,01/10/1990,,31,10,Portogallo,Lione
,Julian,Pollersbeck,P,16/08/1994,,27,1,Germania,Lione
,Jason,Denayer,D,28/06/1995,,26,12,Belgio,Lione
,Sinaly,Diomandé,D,09/04/2001,,20,2,Costa d'Avorio,Lione
,Marcelo,,D,20/05/1987,,34,2,Brasile,Lione
,Maxwel,Cornet,D,27/09/1996,,25,7,Costa d'Avorio,Lione
,Thiago,Mendes,C,15/03/1992,,29,10,Brasile,Lione
,Houssem,Aouar,C,30/06/1998,Adidas,23,27,Francia,Lione
,Bruno,Guimarães,C,16/11/1997,,24,15,Brasile,Lione
,Lucas,Paquetá,C,27/08/1997,,24,14,Brasile,Lione
,Memphis,Depay,A,13/02/1994,,27,24,Olanda,Lione
,Karl,Ekambi,A,14/09/1992,,29,9,Camerun,Lione
,Steve,Mandanda,P,28/03/1985,,36,1,Francia,Marsiglia
,Yohann,Pelé,P,04/11/1982,,39,1,Francia,Marsiglia
,Duje,Caleta-Car,D,17/09/1996,,25,12,Croazia,Marsiglia
,Leonardo,Balerdi,D,26/01/1999,,22,4,Argentina,Marsiglia
,Álvaro,González,D,08/01/1990,,31,4,Spagna,Marsiglia
,Jordan,Amavi,D,09/03/1994,,27,5,Francia,Marsiglia
,Boubacar,Kamara,C,23/11/1999,,22,18,Francia,Marsiglia
,Pape,Gueye,C,24/01/1999,,22,5,Francia,Marsiglia
,Valentin,Rongier,C,07/12/1994,,27,10,Francia,Marsiglia
,Michaël,Cuisance,C,16/08/1999,,22,6,Francia,Marsiglia
,Florian,Thauvin,A,26/01/1993,,28,17,Francia,Marsiglia
,Arkadiusz,Milik,A,28/02/1994,,27,12,Francia,Marsiglia
,Benjamin,Lecomte,P,26/04/1991,,30,6,Francia,Monaco
,Radoslaw,Majecki,P,16/11/1999,,22,3,Polonia,Monaco
,Benoît,Badiashile,D,26/03/2001,,20,14,Francia,Monaco
,Axel,Disasi,D,11/03/1998,,23,12,Francia,Monaco
