,Bernd,Leno,P,04/03/1992,Nike,29,15,Germania,Arsenal
,Alex,Rúnarsson,P,18/02/1995,,26,3,Islanda,Arsenal
,Cédric,Soares,D,31/08/1991,,30,7,Portogallo,Arsenal
,Calum,Chambers,D,20/01/1995,,26,8,Inghilterra,Arsenal
,David,Luiz,D,22/04/1987,Nike,34,13,Brasile,Arsenal
,Héctor,Bellerín,D,19/03/1995,Adidas,26,22,Spagna,Arsenal
,Thomas,Partey,C,13/06/1993,Adidas,28,29,Ghana,Arsenal
,Granit,Xhaka,C,27/09/1992,Nike,29,22,Svizzera,Arsenal
,Dani,Ceballos,C,07/08/1996,Nike,25,24,Spagna,Arsenal
,Bukayo,Saka,C,05/09/2001,Nike,20,28,Inghilterra,Arsenal
,Martin,Ødegaard,C,17/12/1998,Nike,23,29,Norvegia,Arsenal
,Gabriel,Martinelli,A,18/06/2001,Adidas,20,18,Brasile,Arsenal
,Nicolas,Pépé,A,29/05/1995,Nike,26,28,Brasile,Arsenal
,Pierre-Emerick,Aubameyang,A,18/06/1989,Nike,32,30,Gabon,Arsenal
,Alexandre,Lacazette,A,28/05/1991,Adidas,30,27,Gabon,Arsenal
,Edouard,Mendy,P,01/03/1992,,29,15,Ghana,Chelsea
,Kepa,Arrizabalaga,P,03/10/1994,Adidas,27,12,Spagna,Chelsea
,Kurt,Zouma,D,27/10/1994,,27,19,Francia,Chelsea
,Antonio,Rüdiger,D,03/03/1993,,28,15,Germania,Chelsea
,Thiago,Silva,D,22/09/1984,NIke,37,6,Brasile,Chelsea
,Ben,Chilwell,D,21/12/1996,,25,24,Inghilterra,Chelsea
,Reece,James,D,08/12/1999,Nike,22,20,Inghilterra,Chelsea
,N'Golo,Kanté,C,29/03/1991,Nike,30,35,Francia,Chelsea
,Mateo,Kovacic,C,06/05/1994,Nike,27,24,Croazia,Chelsea
,Billy,Gilmour,C,11/06/2001,,20,8,Scozia,Chelsea
