,Sven,Ulreich,P,03/08/1988,Adidas,33,6,Germania,Bayern Monaco
,David,Alaba,D,24/06/1992,Adidas,29,28,Austria,Bayern Monaco
,Lucas,Hernandez,D,14/02/1996,Nike,25,33,Francia,Bayern Monaco
,Joshua,Kimmich,D,08/02/1995,Nike,26,39,Germania,Bayern Monaco
,Jerome,Boateng,D,03/09/1988,Nike,33,13,Germania,Bayern Monaco
,Serge,Gnabry,C,14/07/1995,Nike,26,43,Germania,Bayern Monaco
,Leon,Goretzka,C,06/02/1995,Nike,26,30,Germania,Bayern Monaco
,Corentin,Tolisso,C,03/08/1994,,27,14,Francia,Bayern Monaco
,Javi,Martinez,C,02/09/1988,Adidas,33,10,Spagna,Bayern Monaco
,Robert,Lewandowski,A,21/08/1988,Nike,33,59,Polonia,Bayern Monaco
,Thomas,Muller,A,13/09/1989,Adidas,32,28,Germania,Bayern Monaco
,Kingsley,Coman,A,13/06/1996,Nike,25,30,Francia,Bayern Monaco
,Roman,Burki,P,14/11/1990,,31,3,Svizzera,Borussia Dortmund
,Marwin,Hitz,P,18/09/1987,,34,1,Svizzera,Borussia Dortmund
,Manuel,Akanji,D,19/07/1995,,26,8,Svizzera,Borussia Dortmund
,Mats,Hummels,D,16/12/1988,Adidas,33,13,Germania,Borussia Dortmund
,Lukas,Piszczek,D,03/06/1985,Adidas,36,9,Polonia,Borussia Dortmund
,Marcel,Schmelzer,D,22/01/1988,,33,5,Germania,Borussia Dortmund
,Julian,Brandt,C,02/05/1996,Nike,25,18,Germania,Borussia Dortmund
,Emre,Can,C,12/01/1994,Nike,27,18,Germania,Borussia Dortmund
,Mahmoud,Dahoud,C,01/01/1996,Nike,25,17,Germania,Borussia Dortmund
,Erling,Haaland,A,21/07/2000,Nike,21,54,Norvegia,Borussia Dortmund
,Marco,Reus,A,31/05/1989,Puma,32,23,Germania,Borussia Dortmund
,Yann,Sommer,P,17/12/1988,,33,5,Svizzera,Borussia Monchengladbach
,Nico,Elvedi,D,30/09/1996,,25,9,Svizzera,Borussia Monchengladbach
,Matthias,Ginter,D,19/01/1994,,27,13,Germania,Borussia Monchengladbach
,Oscar,Wendt,D,24/10/1985,,36,2,Svezia,Borussia Monchengladbach
,Tony,Jantschke,D,07/04/1990,,31,6,Germania,Borussia Monchengladbach
,Patrick,Herrmann,C,12/02/1991,,30,9,Germania,Borussia Monchengladbach
,Jonas,Hofmann,C,14/07/1992,,29,7,Germania,Borussia Monchengladbach
,Christoph,Kramer,C,19/02/1991,,30,12,Germania,Borussia Monchengladbach
,Breel,Embolo,A,14/02/1997,Nike,24,19,Svizzera,Borussia Monchengladbach
,Alassane,Plea,A,10/03/1993,Nike,28,18,Francia,Borussia Monchengladbach
,Markus,Thuram,A,06/08/1997,Nike,24,17,Francia,Borussia Monchengladbach
,Lars,Stindl,A,26/08/1988,,33,11,Germania,Borussia Monchengladbach
,Kevin,Trapp,P,08/07/1990,,31,8,Germania,Eintracht Francoforte
,Frederik,Ronnow,P,04/08/1992,,29,3,Danimarca,Eintracht Francoforte
,David,Abraham,D,15/07/1986,,35,4,Danimarca,Eintracht Francoforte
,Timothy,Chandler,D,29/03/1990,,31,4,Stati Uniti,Eintracht Francoforte
,Danny,Da Costa,D,13/07/1993,,28,3,Germania,Eintracht Francoforte
